variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
gestage,BC-3 mothers all visits database FINAL,discard,,gestation age at next routine visit,"1=16wks,
2=20wks,
3=24wks,
4=28wks,
5=32wks,
6=36wks,
7=40wks",NA,,,,DROP - not of interest,BC-3 mothers all visits database FINAL::gestage
gestage,BC-3 childs expanded database FINAL,discard,,Gestational age at birth in weeks,,NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::gestage
gestage,BC-3 children individual level database FINAL,keep,,Gestational age at birth in weeks,,NA,,,,Use this for gestational age at birth,BC-3 children individual level database FINAL::gestage
gestation,BC-3 screening database FINAL,discard,,Estimated gestation age between 12-20weeks,"0 = <12 wks,
1=12-20wks,
2=>20wks",NA,,,,,BC-3 screening database FINAL::gestation
gestdays,BC-3 enrollment database FINAL,discard,,days,,NA,,,,Drop since data is also included in another way ,BC-3 enrollment database FINAL::gestdays
gestwks,BC-3 enrollment database FINAL,discard,, weeks,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gestwks
gestwks,BC-3 mothers all visits database FINAL,keep,,If routine visit weeks of gestation,,NA,,,,,BC-3 mothers all visits database FINAL::gestwks
gestwks,BC-3 mothers delivery database FINAL,keep,,Weeks of gestation,,NA,,,,,BC-3 mothers delivery database FINAL::gestwks
gestwks,BC-3 mothers expanded database FINAL,keep,,If routine visit weeks of gestation,"1=16wks,2=20wks,3=24wks,4=28wks,5=32wks,6=36wks,7=40wks",NA,,,,,BC-3 mothers expanded database FINAL::gestwks
gi,BC-3 enrollment database FINAL,discard,,gi,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gi
gi,BC-3 mothers all visits database FINAL,keep,,gi,,NA,,,,,BC-3 mothers all visits database FINAL::gi
gi,BC-3 childs all visit database FINAL,keep,,gi,,NA,,,,,BC-3 childs all visit database FINAL::gi
gidur,BC-3 enrollment database FINAL,discard,,GI Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gidur
gidur,BC-3 mothers all visits database FINAL,keep,,GI Duration,,NA,,,,,BC-3 mothers all visits database FINAL::gidur
gidur,BC-3 childs all visit database FINAL,keep,,GI Duration,,NA,,,,,BC-3 childs all visit database FINAL::gidur
gigrade,BC-3 enrollment database FINAL,discard,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gigrade
gigrade,BC-3 mothers all visits database FINAL,keep,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::gigrade
gigrade,BC-3 childs all visit database FINAL,keep,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::gigrade
gpspray,BC3_Household_Survey_Data,keep,,did you grant them permission to spray the interior walls of your dwelling?,,NA,,,,,BC3_Household_Survey_Data::gpspray
grade,BC-3 mothers all visits database FINAL,discard,,QTc AE grading,"0,1,2,3",NA,,,,,BC-3 mothers all visits database FINAL::grade
grade,BC-3 mothers expanded database FINAL,discard,,QTc AE grading,"0 = no grade,1 = grade 1,2 = grade 2,3 = grade 3,4 = grade 4
",NA,,,,,BC-3 mothers expanded database FINAL::grade
gradew20,Individual level database FINAL,discard,,QTc AE grading,"0,1,2,3",NA,,,,,Individual level database FINAL::gradew20
gradew28,Individual level database FINAL,discard,,QTc AE grading,"0,1,3",NA,,,,,Individual level database FINAL::gradew28
gradew36,Individual level database FINAL,discard,,QTc AE grading,"0,1,3",NA,,,,,Individual level database FINAL::gradew36
gravid,BC-3 enrollment database FINAL,keep,,Gravidity,,NA,,,,Total number of pregnancies,BC-3 enrollment database FINAL::gravid
gravid,BC-3 mothers all visits database FINAL,discard,,Gravidity,,NA,,,,DROP - Use enrollment,BC-3 mothers all visits database FINAL::gravid
gravid,BC-3 mothers expanded database FINAL,discard,,Gravidity,,NA,,,,DROP - Use enrollment,BC-3 mothers expanded database FINAL::gravid
gravidcat,Individual level database FINAL,discard,,Categories of gravidity,"1,2,3=>3",NA,,,,,Individual level database FINAL::gravidcat
gravidcat,BC-3 childs expanded database FINAL,discard,,Categories of gravidity,"1,2,3=>3",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::gravidcat
gravidcat,BC-3 children individual level database FINAL,discard,,Categories of gravidity,"1,2,3=>3",NA,,,,DROP,BC-3 children individual level database FINAL::gravidcat
graviddich,Individual level database FINAL,discard,,Gravidity dichotomized,"1,2=>2",NA,,,,,Individual level database FINAL::graviddich
gravidity,Individual level database FINAL,discard,,Total number of pregnancies,,NA,,,,DROP - Use gravid from enrollment,Individual level database FINAL::gravidity
gravidity,BC-3 childs expanded database FINAL,discard,,Total number of pregnancies,"1,2,3,4,5,6,7,8,9",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::gravidity
gravidity,BC-3 children individual level database FINAL,discard,,Total number of pregnancies,,NA,,,,DROP - Use enrollment,BC-3 children individual level database FINAL::gravidity
gu,BC-3 enrollment database FINAL,discard,,gu,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gu
gu,BC-3 mothers all visits database FINAL,keep,,gu,,NA,,,,,BC-3 mothers all visits database FINAL::gu
gu,BC-3 childs all visit database FINAL,keep,,gu,,NA,,,,,BC-3 childs all visit database FINAL::gu
gudur,BC-3 enrollment database FINAL,discard,,GU Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gudur
gudur,BC-3 mothers all visits database FINAL,keep,,GU Duration,,NA,,,,,BC-3 mothers all visits database FINAL::gudur
gudur,BC-3 childs all visit database FINAL,keep,,GU Duration,,NA,,,,,BC-3 childs all visit database FINAL::gudur
gugrade,BC-3 enrollment database FINAL,discard,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::gugrade
gugrade,BC-3 mothers all visits database FINAL,keep,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::gugrade
gugrade,BC-3 childs all visit database FINAL,keep,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::gugrade
hampm,BC-3 mothers delivery database FINAL,keep,,AM/PM hospital,"0=AM,
1=PM",NA,,,,,BC-3 mothers delivery database FINAL::hampm
hb,BC-3 enrollment database FINAL,discard,,Hemoglobin,,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::hb
hb,BC-3 mothers all visits database FINAL,discard,,hemoglobin result,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::hb
hb,BC-3 mothers delivery database FINAL,keep,,Hemoglobin,,NA,,,,,BC-3 mothers delivery database FINAL::hb
hb,BC-3 mothers expanded database FINAL,keep,,hemoglobin result,,NA,,,,,BC-3 mothers expanded database FINAL::hb
hb,BC-3 childs all visit database FINAL,keep,,hemoglobin result,,NA,,,,,BC-3 childs all visit database FINAL::hb
hb,BC-3 childs expanded database FINAL,discard,,hemoglobin result,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::hb
hb10,BC-3 childs expanded database FINAL,discard,,Hb < 10 gm/dL,"0=No, 1=Yes",NA,,,,,BC-3 childs expanded database FINAL::hb10
hb8,BC-3 childs expanded database FINAL,discard,,Hb < 8 gm/dL,"0=No, 1=Yes",NA,,,,,BC-3 childs expanded database FINAL::hb8
hbcord,BC-3 mothers delivery database FINAL,keep,,Hemoglobin measurement from cord blood,"0=Not made, 1=Done",NA,,,,,BC-3 mothers delivery database FINAL::hbcord
hbenroll,Individual level database FINAL,discard,,Hemoglobin g/dL at enrollment,,NA,,,,DROP - Use expanded,Individual level database FINAL::hbenroll
hbgrade,BC-3 enrollment database FINAL,discard,,Hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 enrollment database FINAL::hbgrade
hbgrade,BC-3 mothers all visits database FINAL,discard,,hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers all visits database FINAL::hbgrade
hbgrade,BC-3 mothers delivery database FINAL,discard,,Hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers delivery database FINAL::hbgrade
hbgrade,BC-3 childs all visit database FINAL,keep,,hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 childs all visit database FINAL::hbgrade
headacheae,Individual level database FINAL,discard,,(sum) headacheAE,,NA,,,,aggregate observation data,Individual level database FINAL::headacheae
headcircum,BC-3 childs all visit database FINAL,keep,,Head circumference,,NA,,,,,BC-3 childs all visit database FINAL::headcircum
headdur,BC-3 enrollment database FINAL,keep,,Headache Duration,,NA,,,,,BC-3 enrollment database FINAL::headdur
headdur,BC-3 mothers all visits database FINAL,keep,,Headache Duration,,NA,,,,,BC-3 mothers all visits database FINAL::headdur
headgrade,BC-3 enrollment database FINAL,discard,,Headache Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::headgrade
headgrade,BC-3 mothers all visits database FINAL,keep,,Headache Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::headgrade
height,BC-3 enrollment database FINAL,keep,,Height(cm),,NA,,,,,BC-3 enrollment database FINAL::height
height,BC-3 mothers all visits database FINAL,discard,,Height(cm),,NA,,,,DROP - Use enrollment,BC-3 mothers all visits database FINAL::height
height,BC-3 mothers expanded database FINAL,discard,,Height(cm),,NA,,,,DROP - Use enrollment,BC-3 mothers expanded database FINAL::height
height,BC-3 childs all visit database FINAL,keep,,Height (cm),,NA,,,,,BC-3 childs all visit database FINAL::height
height,BC-3 childs expanded database FINAL,discard,,Height (cm),,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::height
hemocue,BC-3 enrollment database FINAL,discard,,Urgent Hb(hemocue),,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::hemocue
hemocue,BC-3 mothers all visits database FINAL,discard,,hemocue,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::hemocue
hemocue,BC-3 mothers expanded database FINAL,keep,,hemocue,,NA,,,,,BC-3 mothers expanded database FINAL::hemocue
hemocue,BC-3 childs all visit database FINAL,keep,,Urgent Hb,,NA,,,,,BC-3 childs all visit database FINAL::hemocue
hemocue,BC-3 childs expanded database FINAL,discard,,Urgent Hb,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::hemocue
hemograde,BC-3 enrollment database FINAL,discard,,Urgent Hb(hemocue) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 enrollment database FINAL::hemograde
hemograde,BC-3 mothers all visits database FINAL,discard,,hemograde,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 mothers all visits database FINAL::hemograde
hemograde,BC-3 childs all visit database FINAL,keep,,urgent Hb grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",NA,,,,,BC-3 childs all visit database FINAL::hemograde
hemorrhage,Individual level database FINAL,discard,,(sum) hemorrhage,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::hemorrhage
hhamnets,BC3_Household_Survey_Data,discard,,"immediately before enrollment, did your household have any mosquito nets ","1=yes,2=No, -9=skipped",NA,,,,,BC3_Household_Survey_Data::hhamnets
hhmeals,BC3_Household_Survey_Data,keep,,how many meals does your household usually have per day?,,NA,,,,,BC3_Household_Survey_Data::hhmeals
hhmealsdich,BC3_Household_Survey_Data,keep,,how many meals does your household usually have per day?,"0=2 or less, 1= 3 or more",NA,,,,,BC3_Household_Survey_Data::hhmealsdich
hhnumt,BC3_Household_Survey_Data,keep,,"in the past week, on how many days did the household eat meat?",,NA,,,,,BC3_Household_Survey_Data::hhnumt
hhnumtcat,BC3_Household_Survey_Data,keep,,"in the past week, on how many days did the household eat meat?","0,1,2=2 or more",NA,,,,,BC3_Household_Survey_Data::hhnumtcat
hhpsf,BC3_Household_Survey_Data,keep,,how often in the last year did you have problems in  satisfying the  food needs,,NA,,,,,BC3_Household_Survey_Data::hhpsf
hhrooms,BC3_Household_Survey_Data,keep,,how many rooms in your household  are used for sleeping?if there are 15 or more,,NA,,,,,BC3_Household_Survey_Data::hhrooms
hhspaces,BC3_Household_Survey_Data,keep,,"how many sleeping spaces like mats, mattresses,  or beds are available in your household",,NA,,,,,BC3_Household_Survey_Data::hhspaces
hivstatus,BC-3 screening database FINAL,discard,,Confirmed HIV-Status by rapid test.(make copy of source documents),"0=Negative,
1=Positive",NA,,,,,BC-3 screening database FINAL::hivstatus
hivtest,BC-3 mothers all visits database FINAL,keep,,HIV Rapid Test,"0=Negative,
1=Positive",NA,,,,,BC-3 mothers all visits database FINAL::hivtest
hivtest,BC-3 mothers delivery database FINAL,keep,,HIV Rapid Test,"0=Negative,
1=Positive,
2=Not done",NA,,,,,BC-3 mothers delivery database FINAL::hivtest
hnumnets,BC3_Household_Survey_Data,keep,,"immediately before study enrollment, how many mosquito nets did your household have",,NA,,,,,BC3_Household_Survey_Data::hnumnets
hospdate,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital Date,date,NA,,,,,BC-3 mothers delivery database FINAL::hospdate
hospdx1,BC-3 childs hospitalizations FINAL,keep,,1st Diagnosis,numeric,NA,,,,,BC-3 childs hospitalizations FINAL::hospdx1
hospdx2,BC-3 childs hospitalizations FINAL,keep,,2nd Diagnosis,numeric,NA,,,,,BC-3 childs hospitalizations FINAL::hospdx2
hospdx3,BC-3 childs hospitalizations FINAL,keep,,3rd Diagnosis,numeric,NA,,,,,BC-3 childs hospitalizations FINAL::hospdx3
hospdx4,BC-3 childs hospitalizations FINAL,keep,,4th Diagnosis,numeric,NA,,,,,BC-3 childs hospitalizations FINAL::hospdx4
hosphrs,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital Time: Hours,Hours,NA,,,,,BC-3 mothers delivery database FINAL::hosphrs
hospitalized,BC-3 children individual level database FINAL,discard,,(sum) hospitalized,,NA,,,,,BC-3 children individual level database FINAL::hospitalized
hospitalized,BC-3 childs expanded database FINAL,discard,,Hospitalized on this day,"0=No, 1=Yes",NA,,,,DROP - Use child hospitalizations file,BC-3 childs expanded database FINAL::hospitalized
hospmin,BC-3 mothers delivery database FINAL,discard,Combine with hosphrs in that variable,Presentation to hospital Time: Minutes,Minutes,NA,,,,,BC-3 mothers delivery database FINAL::hospmin
hospre,BC-3 childs deaths FINAL,keep,,information obtained as Hospital record,1=checked,NA,,,,"map contreport, autopsy, other and hospre to same term",BC-3 childs deaths FINAL::hospre
housetype,BC3_Household_Survey_Data,keep,,Housetype dichotomous,"0=Traditional, 1=Mordern",NA,,,,,BC3_Household_Survey_Data::housetype
hrate,BC-3 enrollment database FINAL,discard,,Heart rate (maternal),,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::hrate
hrate,BC-3 mothers all visits database FINAL,keep,,Heart rate (maternal),,NA,,,,,BC-3 mothers all visits database FINAL::hrate
hrate,BC-3 childs all visit database FINAL,keep,,Heart rate,,NA,,,,,BC-3 childs all visit database FINAL::hrate
htable,BC3_Household_Survey_Data,keep,,table?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::htable
hyperten,BC-3 enrollment database FINAL,keep,,Medical History: Hypertension,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::hyperten
id,BC-3 enrollment database FINAL,discard,,Study ID,5-digit number,NA,,,,"DROP - not loading participant ID as a variable, just as key",BC-3 enrollment database FINAL::id
id,BC-3 mothers all visits database FINAL,discard,,Study Id,5 digit number,NA,,,,"DROP - not loading participant ID as a variable, just as key",BC-3 mothers all visits database FINAL::id
id,BC-3 mothers delivery database FINAL,discard,,Study ID,5 digit number,NA,,,,"DROP - not loading participant ID as a variable, just as key",BC-3 mothers delivery database FINAL::id
id,BC-3 mothers expanded database FINAL,discard,,Patient ID number,5-digit number,NA,,,,"DROP - not loading participant ID as a variable, just as key",BC-3 mothers expanded database FINAL::id
