variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
fterm5,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm5|BC-3 enrollment database FINAL,,,Was the 5th delivery a full term or premature,,,,variable
fterm6,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm6|BC-3 enrollment database FINAL,,,Was the 6th delivery a full term or premature,,,,variable
fterm7,BC-3 enrollment database FINAL,SKIP,,Full term or Premature,"1=Full Term, 2=Premature,9=Unknown",,,,,Should we do these as separate variables? First delivery second delivery etc.?,fterm7|BC-3 enrollment database FINAL,,,Was the seventh delivery a full term or premature,,,,variable
fueltype,BC3_Household_Survey_Data,SKIP,,what type of fuel does your household mainly use for cooking?,"-9=skipped,2=natural gas, 3=biogas, 5=charcoal, 6=firewood, 7=starw/shrubs/grass",,,,,,fueltype|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,,,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,variable
GAcat,Individual level database FINAL,keep,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",,,,,,GAcat|Individual level database FINAL,,,,,,,
GAcomputed,BC-3 enrollment database FINAL,keep,,,,,,,,,GAcomputed|BC-3 enrollment database FINAL,,,,,,,
GAcomputed,BC-3 mothers expanded database FINAL,keep,,Gestational age computed from EDD,,,,,,,GAcomputed|BC-3 mothers expanded database FINAL,,,,,,,
GAdelivery,BC-3 mothers delivery database FINAL,keep,,Gestational age in weeks computed at delivery,,,,,,,GAdelivery|BC-3 mothers delivery database FINAL,,,,,,,
GAdelivery,Individual level database FINAL,discard,,Gestational age in weeks computed at delivery,,,,,,,GAdelivery|Individual level database FINAL,,,,,,,
GAenroll,BC-3 enrollment database FINAL,keep,,Gestational age at enrollment,,,,,,,GAenroll|BC-3 enrollment database FINAL,,,,,,,
GAenroll,BC-3 mothers all visits database FINAL,discard,,Gestational age at enrollment,"1=16wks,
2=20wks,
3=24wks,
4=28wks,
5=32wks,
6=36wks,
7=40wks",,,,,DROP- use enrollment,GAenroll|BC-3 mothers all visits database FINAL,,Gestational age at enrollment,,Participant,,,variable
GAenroll,Individual level database FINAL,discard,,Gestational age at enrollment,,,,,,DROP - Use enrollment,GAenroll|Individual level database FINAL,,Gestational age at enrollment (wks),,Participant,,,variable
GAenrollment,BC-3 mothers expanded database FINAL,discard,,Gestational age at enrollment,"12,13,14,15,16,17,18,19,20",,,,,DROP - Use enrollment,GAenrollment|BC-3 mothers expanded database FINAL,,Gestational age at enrollment,,Participant,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,variable
game,BC-3 enrollment database FINAL,keep,,Gametocytes,"
0 = Absent,1 = Present",,,,,,game|BC-3 enrollment database FINAL,,,,,,,
game,BC-3 mothers all visits database FINAL,keep,,Gametocytes,"0=Absent, 1=Present",,,,,,game|BC-3 mothers all visits database FINAL,,,,,,,
game1,BC-3 mothers all visits database FINAL,keep,,gametocytes1,"0 = Absent,1 = Present
",,,,,,game1|BC-3 mothers all visits database FINAL,,,,,,,
game2,BC-3 mothers all visits database FINAL,keep,,gametocytes2,"0 = Absent,1 = Present
",,,,,,game2|BC-3 mothers all visits database FINAL,,,,,,,
game3,BC-3 mothers all visits database FINAL,keep,,gametocytes3,"0 = Absent,1 = Present
",,,,,,game3|BC-3 mothers all visits database FINAL,,,,,,,
gender,Individual level database FINAL,keep,,Gender of child if singleton birth,"1=Male, 2=Female",,,,,,gender|Individual level database FINAL,,,,,,,
gestage,BC-3 enrollment database FINAL,discard,,,"1=16 wks,
2=20 wks,
3=24 wks,
4=other",,,,,DROP,gestage|BC-3 enrollment database FINAL,DROP,,Gestation age in weeks at next visit,,Observation,,variable
gestage,BC-3 mothers all visits database FINAL,keep,,gestation age at next routine visit,"1=16wks,
2=20wks,
3=24wks,
4=28wks,
5=32wks,
6=36wks,
7=40wks",,,,,,gestage|BC-3 mothers all visits database FINAL,,,,,,,
gestation,BC-3 screening database FINAL,SKIP,,Estimated gestation age between 12-20weeks,"0 = <12 wks,
1=12-20wks,
2=>20wks",,,,,SKIP - Screening,gestation|BC-3 screening database FINAL,,,specified whether the participant is with in the 12-20 weeks gestation age or not,Observation,,,variable
gestdays,BC-3 enrollment database FINAL,keep,,days,,,,,,,gestdays|BC-3 enrollment database FINAL,,,,,,,
gestwks,BC-3 enrollment database FINAL,keep,, weeks,,,,,,,gestwks|BC-3 enrollment database FINAL,,,,,,,
gestwks,BC-3 mothers all visits database FINAL,keep,,If routine visit weeks of gestation,,,,,,,gestwks|BC-3 mothers all visits database FINAL,,,,,,,
gestwks,BC-3 mothers delivery database FINAL,keep,,Weeks of gestation,,,,,,,gestwks|BC-3 mothers delivery database FINAL,,,,,,,
gestwks,BC-3 mothers expanded database FINAL,keep,,If routine visit weeks of gestation,"1=16wks,2=20wks,3=24wks,4=28wks,5=32wks,6=36wks,7=40wks",,,,,,gestwks|BC-3 mothers expanded database FINAL,,,,,,,
gi,BC-3 enrollment database FINAL,keep,,gi,,,,,,,gi|BC-3 enrollment database FINAL,,,,,,,
gi,BC-3 mothers all visits database FINAL,keep,,gi,,,,,,,gi|BC-3 mothers all visits database FINAL,,,,,,,
gidur,BC-3 enrollment database FINAL,keep,,GI Duration,,,,,,,gidur|BC-3 enrollment database FINAL,,,,,,,
gidur,BC-3 mothers all visits database FINAL,keep,,GI Duration,,,,,,,gidur|BC-3 mothers all visits database FINAL,,,,,,,
gigrade,BC-3 enrollment database FINAL,keep,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,gigrade|BC-3 enrollment database FINAL,,,,,,,
gigrade,BC-3 mothers all visits database FINAL,keep,,GI Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,gigrade|BC-3 mothers all visits database FINAL,,,,,,,
gpspray,BC3_Household_Survey_Data,SKIP,,did you grant them permission to spray the interior walls of your dwelling?,,,,,,,gpspray|BC3_Household_Survey_Data,,Permission to spray,,,,,variable
grade,BC-3 mothers all visits database FINAL,SKIP,,QTc AE grading,"0,1,2,3",,,,,What does this mean? Please define,grade|BC-3 mothers all visits database FINAL,,QTc AE grading,QTc AE grading,,,,variable
grade,BC-3 mothers expanded database FINAL,SKIP,,QTc AE grading,"0 = no grade,1 = grade 1,2 = grade 2,3 = grade 3,4 = grade 4
",,,,,What does this mean? Please define,grade|BC-3 mothers expanded database FINAL,,QTc AE grading,,,,,variable
gradew20,Individual level database FINAL,SKIP,,QTc AE grading,"0,1,2,3",,,,,What does this mean? Please define,gradew20|Individual level database FINAL,,QTc AE grading,,,,,variable
gradew28,Individual level database FINAL,SKIP,,QTc AE grading,"0,1,3",,,,,What does this mean? Please define,gradew28|Individual level database FINAL,,QTc AE grading,,,,,variable
gradew36,Individual level database FINAL,SKIP,,QTc AE grading,"0,1,3",,,,,What does this mean? Please define,gradew36|Individual level database FINAL,,QTc AE grading,,,,,variable
gravid,BC-3 enrollment database FINAL,discard,,Gravidity,,,,,,Drop use calculatedgravidity,gravid|BC-3 enrollment database FINAL,,Gravidity,How many number of times a particpant is or has been pregnant,Participant,Obstetric history,,variable
gravid,BC-3 mothers all visits database FINAL,discard,,Gravidity,,,,,,Drop use calculatedgravidity,gravid|BC-3 mothers all visits database FINAL,,Gravidity,,,,,variable
gravid,BC-3 mothers expanded database FINAL,discard,,Gravidity,,,,,,Drop use calculatedgravidity,gravid|BC-3 mothers expanded database FINAL,,Gravidity,,,,,variable
Gravidcat,Individual level database FINAL,keep,,Categories of gravidity,"1,2,3=>3",,,,,,Gravidcat|Individual level database FINAL,,,,,,,
Graviddich,Individual level database FINAL,keep,,Gravidity dichotomized,"1,2=>2",,,,,,Graviddich|Individual level database FINAL,,,,,,,
Gravidity,Individual level database FINAL,discard,,Total number of pregnancies,,,,,,Duplicate with calculatedgravidity?,Gravidity|Individual level database FINAL,,gravidity,,,,,variable
gu,BC-3 enrollment database FINAL,keep,,gu,,,,,,,gu|BC-3 enrollment database FINAL,,,,,,,
gu,BC-3 mothers all visits database FINAL,keep,,gu,,,,,,,gu|BC-3 mothers all visits database FINAL,,,,,,,
gudur,BC-3 enrollment database FINAL,keep,,GU Duration,,,,,,,gudur|BC-3 enrollment database FINAL,,,,,,,
gudur,BC-3 mothers all visits database FINAL,keep,,GU Duration,,,,,,,gudur|BC-3 mothers all visits database FINAL,,,,,,,
gugrade,BC-3 enrollment database FINAL,keep,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,gugrade|BC-3 enrollment database FINAL,,,,,,,
gugrade,BC-3 mothers all visits database FINAL,keep,,GU Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,gugrade|BC-3 mothers all visits database FINAL,,,,,,,
hampm,BC-3 mothers delivery database FINAL,keep,,AM/PM hospital,"0=AM,
1=PM",,,,,????,hampm|BC-3 mothers delivery database FINAL,,,,,,,
hb,BC-3 enrollment database FINAL,keep,,Hemoglobin,,,,,,,hb|BC-3 enrollment database FINAL,,,,,,,
hb,BC-3 mothers all visits database FINAL,keep,,hemoglobin result,,,,,,,hb|BC-3 mothers all visits database FINAL,,,,,,,
hb,BC-3 mothers delivery database FINAL,keep,,Hemoglobin,,,,,,,hb|BC-3 mothers delivery database FINAL,,,,,,,
hb,BC-3 mothers expanded database FINAL,keep,,hemoglobin result,,,,,,,hb|BC-3 mothers expanded database FINAL,,,,,,,
hbcord,BC-3 mothers delivery database FINAL,keep,,Hemoglobin measurement from cord blood,"0=Not made, 1=Done",,,,,Cord blood,hbcord|BC-3 mothers delivery database FINAL,,,,,,,
HBenroll,Individual level database FINAL,keep,,Hemoglobin g/dL at enrollment,,,,,,,HBenroll|Individual level database FINAL,,,,,,,
hbgrade,BC-3 enrollment database FINAL,keep,,Hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,hbgrade|BC-3 enrollment database FINAL,,,,,,,
hbgrade,BC-3 mothers all visits database FINAL,keep,,hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,hbgrade|BC-3 mothers all visits database FINAL,,,,,,,
hbgrade,BC-3 mothers delivery database FINAL,keep,,Hemoglobin grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,hbgrade|BC-3 mothers delivery database FINAL,,,,,,,
headacheAE,Individual level database FINAL,SKIP,,(sum) headacheAE,,,,,,SKIP -AE,headacheAE|Individual level database FINAL,http://purl.obolibrary.org/obo/HP_0002315,Headache,,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,variable
headdur,BC-3 enrollment database FINAL,keep,,Headache Duration,,,,,,,headdur|BC-3 enrollment database FINAL,,,,,,,
headdur,BC-3 mothers all visits database FINAL,keep,,Headache Duration,,,,,,,headdur|BC-3 mothers all visits database FINAL,,,,,,,
headgrade,BC-3 enrollment database FINAL,keep,,Headache Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,headgrade|BC-3 enrollment database FINAL,,,,,,,
headgrade,BC-3 mothers all visits database FINAL,keep,,Headache Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,headgrade|BC-3 mothers all visits database FINAL,,,,,,,
height,BC-3 enrollment database FINAL,keep,,Height(cm),,,,,,,height|BC-3 enrollment database FINAL,,,,,,,
height,BC-3 mothers all visits database FINAL,discard,,Height(cm),,,,,,DROP - Use enrollment,height|BC-3 mothers all visits database FINAL,,,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,variable
height,BC-3 mothers expanded database FINAL,discard,,Height(cm),,,,,,DROP - Use enrollment,height|BC-3 mothers expanded database FINAL,,,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,variable
hemocue,BC-3 enrollment database FINAL,keep,,Urgent Hb(hemocue),,,,,,,hemocue|BC-3 enrollment database FINAL,,,,,,,
hemocue,BC-3 mothers all visits database FINAL,discard,,hemocue,,,,,,DROP - Use expanded,hemocue|BC-3 mothers all visits database FINAL,,,,Observation,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,variable
hemocue,BC-3 mothers expanded database FINAL,keep,,hemocue,,,,,,,hemocue|BC-3 mothers expanded database FINAL,,,,,,,
hemograde,BC-3 enrollment database FINAL,keep,,Urgent Hb(hemocue) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,hemograde|BC-3 enrollment database FINAL,,,,,,,
hemograde,BC-3 mothers all visits database FINAL,keep,,hemograde,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,hemograde|BC-3 mothers all visits database FINAL,,,,,,,
hemorrhage,Individual level database FINAL,SKIP,,(sum) hemorrhage,"0,1",,,,,What does sum mean? Please define.,hemorrhage|Individual level database FINAL,,hemorrhage,,Observation,,,variable
hhamnets,BC3_Household_Survey_Data,SKIP,,"immediately before enrollment, did your household have any mosquito nets ","1=yes,2=No, -9=skipped",,,,,,hhamnets|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000398,"ITN bednet count, treated less than 6 months ago",,,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,variable
hhmeals,BC3_Household_Survey_Data,SKIP,,how many meals does your household usually have per day?,,,,,,,hhmeals|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000027,Meals per day,,,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,variable
hhmealsdich,BC3_Household_Survey_Data,SKIP,,how many meals does your household usually have per day?,"0=2 or less, 1= 3 or more",,,,,,hhmealsdich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000027,Meals per day,,,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,variable
hhnumt,BC3_Household_Survey_Data,SKIP,,"in the past week, on how many days did the household eat meat?",,,,,,,hhnumt|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0011661,Meat,,,Solids for consumption,http://purl.obolibrary.org/obo/FOODON_03430151,variable
hhnumtcat,BC3_Household_Survey_Data,SKIP,,"in the past week, on how many days did the household eat meat?","0,1,2=2 or more",,,,,,hhnumtcat|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0011661,Meat,,,Solids for consumption,http://purl.obolibrary.org/obo/FOODON_03430151,variable
hhpsf,BC3_Household_Survey_Data,SKIP,,how often in the last year did you have problems in  satisfying the  food needs,,,,,,,hhpsf|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,variable
hhrooms,BC3_Household_Survey_Data,SKIP,,how many rooms in your household  are used for sleeping?if there are 15 or more,,,,,,,hhrooms|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
hhspaces,BC3_Household_Survey_Data,SKIP,,"how many sleeping spaces like mats, mattresses,  or beds are available in your household",,,,,,,hhspaces|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,variable
hivstatus,BC-3 screening database FINAL,SKIP,,Confirmed HIV-Status by rapid test.(make copy of source documents),"0=Negative,
1=Positive",,,,,,hivstatus|BC-3 screening database FINAL,,HIV status,specified whether participant is HIV positive or HIV negative,Observation,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000056,variable
hivtest,BC-3 mothers all visits database FINAL,keep,,HIV Rapid Test,"0=Negative,
1=Positive",,,,,,hivtest|BC-3 mothers all visits database FINAL,,,,,,,
hivtest,BC-3 mothers delivery database FINAL,keep,,HIV Rapid Test,"0=Negative,
1=Positive,
2=Not done",,,,,,hivtest|BC-3 mothers delivery database FINAL,,,,,,,
hnumnets,BC3_Household_Survey_Data,SKIP,,"immediately before study enrollment, how many mosquito nets did your household have",,,,,,,hnumnets|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000398,"ITN bednet count, treated less than 6 months ago",,,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,variable
hospdate,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital Date,date,,,,,,hospdate|BC-3 mothers delivery database FINAL,,,,,,,
hosphrs,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital Time: Hours,Hours,,,,,,hosphrs|BC-3 mothers delivery database FINAL,,,,,,,
hospmin,BC-3 mothers delivery database FINAL,keep,,Presentation to hospital Time: Minutes,Minutes,,,,,,hospmin|BC-3 mothers delivery database FINAL,,,,,,,
housetype,BC3_Household_Survey_Data,SKIP,,Housetype dichotomous,"0=Traditional, 1=Mordern",,,,,,housetype|BC3_Household_Survey_Data,,,,,,,variable
hrate,BC-3 enrollment database FINAL,keep,,Heart rate (maternal),,,,,,,hrate|BC-3 enrollment database FINAL,,,,,,,
hrate,BC-3 mothers all visits database FINAL,keep,,Heart rate (maternal),,,,,,,hrate|BC-3 mothers all visits database FINAL,,,,,,,
htable,BC3_Household_Survey_Data,SKIP,,table?,"1=Yes, 2=No, -9=Skipped",,,,,,htable|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
hyperten,BC-3 enrollment database FINAL,keep,,Medical History: Hypertension,"0 = No,
1=Yes",,,,,,hyperten|BC-3 enrollment database FINAL,,,,,,,
id,BC-3 enrollment database FINAL,keep,,Study ID,5-digit number,,,,,,id|BC-3 enrollment database FINAL,,,,,,,
